,spanish,english
879,propio,own
880,oro,gold
881,enseguida,right away
882,linda,beautiful
883,prometo,I promise
884,esposo,husband
885,norte,North
886,hubo,was
887,juro,Juro.
888,muerta,dead
889,interesante,interesting
890,pensaba,thought
891,busca,search
892,terminar,end up
893,tendré,I will have
894,completamente,completely
895,cita,appointment
896,siete,seven
897,cumpleaños,birthday
898,abogado,attorney
899,alrededor,around
900,cerebro,brain
901,porqué,why
902,llave,wrench
903,santo,holy
904,hermoso,handsome
905,necesario,necessary
906,edificio,edifice
907,irnos,weaken
908,aun,still
909,tendremos,we will have
910,vayas,Vayas.
911,doy,give
912,trae,Bring
913,salió,he left
914,ley,law
915,ahi,there
916,verdadero,true
917,pelea,Fight
918,banco,Bank
919,terrible,terrible
920,calma,Calm down
921,cena,Dinner
922,daré,I'll give
923,gobierno,government
924,comprar,purchase
925,creen,Creen.
926,sargento,sergeant
927,destino,destination
928,existe,exists
929,hacía,toward
930,novio,boyfriend
931,sala,living room
932,través,through
933,regalo,gift
934,iglesia,church
935,decía,He said
936,cualquiera,anyone
937,excelente,Excellent
938,esperen,Wait
939,deseo,desire
940,alma,soul
941,diablo,Devil
942,deje,leave
943,cuántos,many
944,espada,sword
945,estábamos,We were
946,carne,meat
947,maravilloso,marvelous
948,vidas,Lives
949,sucedió,It happened
950,oí,I heard
951,peligroso,dangerous
952,dirección,address
953,libertad,Liberty
954,jesús,Jesus
955,ocurrió,occurred
956,veré,I will see
957,sueños,Dreams
958,pudiera,I could
959,detective,detective
960,sorpresa,surprise
961,tuya,yours
962,pies,feet
963,club,club
964,terminado,finished
965,infierno,hell
966,creía,He believed.
967,luna,Moon
968,salvar,save
969,carta,letter
970,estés,Bene
971,cielos,Heavens
972,teniente,lieutenant
973,encuentra,finds
974,veamos,let's see
975,quise,I wanted
976,escúchame,listen to me
977,necesitan,Need
978,ambos,both of them
979,decisión,decision
980,enemigo,enemy
981,hicimos,we did
982,dulce,candy
983,pruebas,evidence
984,querías,You wanted
985,abuelo,Grandpa
986,totalmente,completely
987,mirando,looking
988,vayan,go
989,carrera,race
